event_id,instance_id,detected_at,if_score,lstm_error,ensemble_score,severity,alert_sent,notes
1,my-windows-pc,2026-05-09 18:06:32.198594+05:30,0.1727,1,0.6691,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:36:32.079886+00:00
2,my-windows-pc,2026-05-09 18:07:02.874763+05:30,0.1564,1,0.6626,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:37:02.774455+00:00
3,my-windows-pc,2026-05-09 18:07:33.545196+05:30,0.2121,1,0.6848,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:37:33.433959+00:00
4,my-windows-pc,2026-05-09 18:08:04.252914+05:30,0.1673,1,0.6669,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:38:04.153444+00:00
5,my-windows-pc,2026-05-09 18:08:34.908725+05:30,0.2315,1,0.6926,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:38:34.797080+00:00
6,my-windows-pc,2026-05-09 18:09:05.59532+05:30,0.2178,1,0.6871,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:39:05.477479+00:00
7,my-windows-pc,2026-05-09 18:09:36.251439+05:30,0.3692,1,0.7477,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:39:36.160412+00:00
8,my-windows-pc,2026-05-09 18:10:06.89178+05:30,0.1878,1,0.6751,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:40:06.771097+00:00
9,my-windows-pc,2026-05-09 18:10:37.712184+05:30,0.2298,1,0.6919,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:40:37.558466+00:00
10,my-windows-pc,2026-05-09 18:11:08.42354+05:30,0.4567,1,0.7827,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:41:08.329485+00:00
11,my-windows-pc,2026-05-09 18:11:39.109036+05:30,0.1997,0.997,0.6781,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:41:38.999719+00:00
12,my-windows-pc,2026-05-09 18:15:13.654679+05:30,0.8265,0.7639,0.789,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:45:13.555153+00:00
13,my-windows-pc,2026-05-09 18:15:44.384939+05:30,0.6579,0.7734,0.7272,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:45:44.263829+00:00
14,my-windows-pc,2026-05-09 18:19:58.341293+05:30,0.7323,0.7277,0.7295,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:49:58.150696+00:00
15,my-windows-pc,2026-05-09 18:20:31.942491+05:30,0.6351,0.726,0.6896,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:50:31.712997+00:00
16,my-windows-pc,2026-05-09 18:21:03.329991+05:30,0.6629,0.7138,0.6934,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:51:03.096598+00:00
17,my-windows-pc,2026-05-09 18:22:43.572249+05:30,0.7043,0.7415,0.7266,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:52:43.404055+00:00
18,my-windows-pc,2026-05-09 18:24:16.603435+05:30,0.4937,0.7602,0.6536,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:54:16.448997+00:00
19,my-windows-pc,2026-05-09 18:24:47.359479+05:30,0.4896,0.758,0.6507,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:54:47.133828+00:00
20,my-windows-pc,2026-05-09 18:27:29.472308+05:30,0.7086,0.7435,0.7295,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:57:29.254327+00:00
21,my-windows-pc,2026-05-09 18:28:01.043314+05:30,0.7331,0.7193,0.7248,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:58:00.833280+00:00
22,my-windows-pc,2026-05-09 18:28:33.43346+05:30,0.6422,0.7278,0.6936,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:58:33.169795+00:00
23,my-windows-pc,2026-05-09 18:29:04.98647+05:30,0.5986,0.7395,0.6831,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T12:59:04.694832+00:00
