metric_id,instance_id,timestamp,cpu_percent,mem_percent,disk_read_mb,disk_write_mb,net_recv_kb,net_sent_kb
1,my-windows-pc,2026-05-09 16:01:39.66313+05:30,87.7,77.5,0.0431,0.0818,0.1123,0.1362
2,my-windows-pc,2026-05-09 16:02:09.852871+05:30,80.8,79,1.7598,0.2059,5.6119,0.805
3,my-windows-pc,2026-05-09 16:02:40.390506+05:30,87.9,79.1,0.1532,0.3827,0.0725,0.1315
4,my-windows-pc,2026-05-09 16:03:13.030933+05:30,100,88.5,6.3269,5.3988,1838.4407,16.3959
5,my-windows-pc,2026-05-09 16:03:43.274677+05:30,74,87,1.8574,3.0285,1434.0503,18.9517
6,my-windows-pc,2026-05-09 16:04:13.395534+05:30,10.2,81.1,0.1125,0.1791,0.2074,0.1201
7,my-windows-pc,2026-05-09 16:04:43.841088+05:30,15.8,81.2,0.1017,0.0866,0.2445,0.1487
8,my-windows-pc,2026-05-09 16:05:14.19402+05:30,25.7,84.5,0.1644,0.0578,55.9498,2.3871
9,my-windows-pc,2026-05-09 16:05:44.411694+05:30,28,83.5,0.2286,0.4762,27.9143,1.6921
10,my-windows-pc,2026-05-09 16:06:14.550945+05:30,80.7,85.7,0.2275,0.2509,4.9435,0.7573
11,my-windows-pc,2026-05-09 16:06:44.775674+05:30,95.1,91.7,2.4563,1.6468,3.7752,2.6677
12,my-windows-pc,2026-05-09 16:07:14.980269+05:30,92.2,85,1.533,4.3365,1.8399,0.287
13,my-windows-pc,2026-05-09 16:07:45.28003+05:30,92.7,90.6,3.7192,1.2912,0.1405,0.1447
14,my-windows-pc,2026-05-09 16:08:15.40385+05:30,77.7,87.6,3.2203,1.905,1.3961,0.3444
15,my-windows-pc,2026-05-09 16:08:45.542687+05:30,40.6,88.2,0.0642,0.3817,0.5859,0.1628
16,my-windows-pc,2026-05-09 16:09:15.666283+05:30,51.2,86.6,4.3495,0.3993,0.0443,0.0579
17,my-windows-pc,2026-05-09 16:09:45.797027+05:30,45,88.5,0.0499,0.3729,0.1737,0.4183
18,my-windows-pc,2026-05-09 16:10:15.993747+05:30,46.3,88.2,0.0416,0.4025,0.7365,0.3056
19,my-windows-pc,2026-05-09 16:10:46.134658+05:30,37.2,87.4,13.3405,0.7612,0.1556,0.1641
20,my-windows-pc,2026-05-09 16:11:16.296663+05:30,29.9,82.5,0.6367,1.7987,0.0345,0.0505
21,my-windows-pc,2026-05-09 16:11:46.437264+05:30,46,83.6,0.1419,0.3999,0.142,0.1839
22,my-windows-pc,2026-05-09 16:12:16.567+05:30,32.9,83.3,0.0447,0.3976,0.6507,0.1836
23,my-windows-pc,2026-05-09 16:12:46.763411+05:30,32.1,82.8,0.3117,0.7351,0.0831,0.1536
24,my-windows-pc,2026-05-09 16:13:17.377317+05:30,41.2,83.7,0.5524,0.3975,5.1728,0.5605
25,my-windows-pc,2026-05-09 16:13:47.512049+05:30,82,85.9,0.3796,0.6877,5.6888,1.2567
26,my-windows-pc,2026-05-09 16:14:17.65894+05:30,73.3,85.8,0.0546,0.3806,0.069,0.2897
27,my-windows-pc,2026-05-09 16:14:47.824037+05:30,72.2,87.2,0.0504,0.3636,0.2702,0.3912
28,my-windows-pc,2026-05-09 16:15:18.922369+05:30,75.3,87.4,0.1575,0.3701,0.3453,0.7273
29,my-windows-pc,2026-05-09 16:15:49.152759+05:30,80.8,87.6,0.993,0.5206,0.9253,1.3314
30,my-windows-pc,2026-05-09 16:16:19.36115+05:30,79.8,85.3,0.1313,1.4953,4.8061,0.4847
31,my-windows-pc,2026-05-09 16:16:49.524855+05:30,78.4,85.3,0.1144,0.378,0.1259,0.1689
32,my-windows-pc,2026-05-09 16:17:19.663687+05:30,78,86.1,0.761,0.7155,0.4394,0.49
33,my-windows-pc,2026-05-09 16:17:49.806851+05:30,80.5,83.3,0.5398,0.3969,2.611,1.0387
34,my-windows-pc,2026-05-09 16:18:19.941095+05:30,79.4,85.1,0.4962,0.5856,5.2201,1.0073
35,my-windows-pc,2026-05-09 16:18:50.48596+05:30,61.5,87.7,2.9171,0.5679,1.6877,1.2983
36,my-windows-pc,2026-05-09 16:19:21.260786+05:30,99.4,92.1,12.6467,3.7296,6.3081,2.1214
37,my-windows-pc,2026-05-09 16:19:51.455167+05:30,96.4,86.9,8.6919,6.6246,6.2388,48.3147
38,my-windows-pc,2026-05-09 16:20:24.749277+05:30,87,92.2,5.3404,0.8557,8.0545,9.5713
39,my-windows-pc,2026-05-09 16:20:59.046061+05:30,98.4,94.2,11.9506,2.1675,11.5719,6.3627
40,my-windows-pc,2026-05-09 16:21:29.635061+05:30,100,92.9,7.2874,6.786,6.6883,7.9406
41,my-windows-pc,2026-05-09 16:22:00.402949+05:30,99.9,91.8,9.4145,6.1648,0.9688,1.1862
42,my-windows-pc,2026-05-09 16:22:30.632419+05:30,81.5,86.9,9.0372,7.561,3.0203,1.1705
43,my-windows-pc,2026-05-09 16:23:00.802155+05:30,62.5,88.3,2.6163,1.4423,1.1589,1.5429
44,my-windows-pc,2026-05-09 16:23:30.950903+05:30,70.1,89.1,2.652,0.5925,6.2182,1.1998
45,my-windows-pc,2026-05-09 16:24:01.098821+05:30,85.9,83.8,2.0523,2.0438,0.2152,0.1432
46,my-windows-pc,2026-05-09 16:24:31.231313+05:30,83,84.8,0.5746,0.066,2.7252,0.2062
47,my-windows-pc,2026-05-09 16:25:01.370741+05:30,52.2,82.5,1.0482,0.4417,0.0775,0.1357
48,my-windows-pc,2026-05-09 16:25:31.500954+05:30,37.4,82.2,0.4632,0.4362,0.5376,0.6334
49,my-windows-pc,2026-05-09 16:26:01.663409+05:30,45.2,82.7,0.1349,0.1218,0.0983,0.1512
50,my-windows-pc,2026-05-09 16:26:31.881919+05:30,74.2,82,1.0513,0.0789,0.438,0.1447
51,my-windows-pc,2026-05-09 16:27:02.515129+05:30,67.4,84.5,1.1211,1.2943,0.9393,0.5388
52,my-windows-pc,2026-05-09 16:27:32.675661+05:30,79.3,86.9,1.6549,0.1468,9.2363,21.1709
53,my-windows-pc,2026-05-09 16:28:02.8028+05:30,87.3,90.5,4.4529,2.5462,1.1676,1.1429
54,my-windows-pc,2026-05-09 16:28:32.982251+05:30,46.2,91.1,1.3817,0.4578,0.0711,0.0818
55,my-windows-pc,2026-05-09 16:29:03.110472+05:30,45,90.7,0.7751,0.396,0.2196,0.3833
56,my-windows-pc,2026-05-09 16:29:33.223121+05:30,42.8,90.9,0.1541,0.5369,3.1798,1.4502
57,my-windows-pc,2026-05-09 16:30:03.338923+05:30,43.5,89.7,0.7883,0.0488,0.12,0.3083
58,my-windows-pc,2026-05-09 16:30:33.466735+05:30,42.9,89.9,0.1055,0.3753,0.2557,0.3902
59,my-windows-pc,2026-05-09 16:31:03.598557+05:30,38.3,88.3,1.0781,3.1925,0.031,0.0506
60,my-windows-pc,2026-05-09 16:31:34.069015+05:30,30.6,88,0.173,0.354,0.0917,0.1656
61,my-windows-pc,2026-05-09 16:32:04.903565+05:30,33.7,85.4,1.5748,1.0387,0.0465,0.0458
62,my-windows-pc,2026-05-09 16:32:35.026886+05:30,27.7,82.5,0.1448,2.055,0.2433,0.2594
63,my-windows-pc,2026-05-09 16:33:05.171882+05:30,27.6,80.7,0.1246,0.3819,0.4664,0.0524
64,my-windows-pc,2026-05-09 16:33:35.293532+05:30,26.6,80.3,0.1002,0.428,0.1247,0.4035
65,my-windows-pc,2026-05-09 16:34:05.423392+05:30,34,82.3,0.5152,0.8176,3.6976,0.6264
66,my-windows-pc,2026-05-09 16:34:35.5422+05:30,31.2,84,0.4158,0.3794,2.8045,0.3606
